Name,LATITUDE,LONGITUDE,ADDRESSPOSTALCODE
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.30619001,103.8506699,210665
Teban Garden Road Blk 37A (Teban Gardens Market and Food Centre),1.3205173,103.7420807,601037
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.27743995,103.8187332,90011
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.27342999,103.8076782,100079
Telok Blangah Drive Blk 82 (Telok Blangah Market),1.27398002,103.8079987,100082
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.27266002,103.8221283,90036
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.36695004,103.8391876,564226
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.36273003,103.8553772,560409
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.37270999,103.8544464,560527
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.37460005,103.839241,560160
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.38066268,103.8407516,560628
Marine Terrace Blk 50A (50A Marine Terrace),1.30580998,103.9157867,441050
Market Street Interim Hawker Centre,1.28156793,103.8488473,48418
Marsiling Lane Blk 20/21,1.44398999,103.7772598,730020
Marsiling Mall Hawker Centre,1.433543,103.779881,738623
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.32314003,103.8550415,320090
Queen Street Blk 270 (Albert Centre),1.30112004,103.8541412,180270
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.37241995,103.8290329,574419
Our Tampines Hub,1.352983,103.940231,528523
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.33462,103.8520584,310074
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.28636003,103.8045502,150120
